Sr_No,Location_Coordinates,Location,Hospital_Name,Hospital_Category,Hospital_Care_Type,Discipline_Systems_of_Medicine,Address_Original_First_Line,State,District,Subdistrict,Pincode,Telephone,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Bloodbank_Phone_No,Foreign_pcare,Tollfree,Helpline,Hospital_Fax,Hospital_Primary_Email_Id,Hospital_Secondary_Email_Id,Website,Specialties,Facilities,Accreditation,Hospital_Regis_Number,Registeration_Number_Scan,Nodal_Person_Info,Nodal_Person_Tele,Nodal_Person_Email_Id,Town,Subtown,Village,Establised_Year,Ayush,Miscellaneous_Facilities,Number_Doctor,Num_Mediconsultant_or_Expert,Total_Num_Beds,Number_Private_Wards,Num_Bed_for_Eco_Weaker_Sec,Empanelment_or_Collaboration_with,Emergency_Services,Tariff_Range,State_ID,District_ID
11,,"12-2-878, I Cross, Sai Nagar,Near By Sbi Main Branch,.",Dr.Ysr Memorial Hospitals,0,0,0,"#12-2-878, I Cross, Sai Nagar,Near By Sbi Main Branch",Andhra Pradesh,Anantapur,0,515001,08554  247155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
12,"14.6749908, 77.6032432","Sai Nagar Iind Cross,Anantapur",Hrudaya Children Hospital,0,0,0,Sai Nagar Iind Cross,Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
13,"17.4738037, 78.5641765","15-381, Kamala Nagar,.","Jeevana Jyothi Hospitals Ltd.,",0,0,0,"#15-381, Kamala Nagar",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
14,,Opposite Annapurna Lodge Kamalanagar,K K Nursing Home,0,0,0,Opposite Annapurna Lodge Kamalanagar,Andhra Pradesh,Anantapur,0,515001,08554  222133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
15,"14.6818877, 77.6005911",Railway Station Road,Meda Nursing Home,0,0,0,Railway Station Road,Andhra Pradesh,Anantapur,0,515001,08554    277562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
16,"14.6723351, 77.6018211","12/3-269, Sai Nagar, 6Th Cross, Anantapur",Mnr Nursing Home,0,0,0,"12/3-269, Sai Nagar, 6Th Cross",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
17,"14.6867872, 77.5832307",D No: 15/721 Kamala Nagar Anantapur 515001  Anantapur,Mythri Hospitals,0,0,0,D No: 15/721 Kamala Nagar,Andhra Pradesh,Anantapur,0,515001,"08554    274630, 245014, 9441074096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
18,"15.3474564, 75.1253824","Aravinda Nagar, 2 Nd Cross",Padmavathi Hospital,0,0,0,"Aravinda Nagar, 2 Nd Cross",Andhra Pradesh,Anantapur,0,515001,08554  249966,0,0,0,0,0,0,0,08554 249966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
19,"14.6742267, 77.6025251","12-2-979,3Rd Cross, Sai Nagar, Anantapur",Pavani Multi Speciality Hospital,0,0,0,"12-2-979,3Rd Cross, Sai Nagar",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
20,"14.6818877, 77.6005911","346, Court Road,.",Prasanthi Nursing Home,0,0,0,"#346, Court Road",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
21,"14.6723351, 77.6018211","12/2/991, Sai Nagar,Main Road, Anantpur",Priya Multispeciality Hospital,0,0,0,"#12/2/991, Sai Nagar,Main Road",Andhra Pradesh,Anantapur,0,515001,231908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
22,"14.6805847, 77.6000775","15-16, Kamala Nagar, Anantapur",Ravitej Nursing Home,0,0,0,"15-16, Kamala Nagar",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
23,"13.9860276, 77.7658783","Near R.T.C, Bus Stand, Anantapur",Santhi Nursing Home,0,0,0,"Near R.T.C, Bus Stand",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
24,,"12-3-216, Sai Nagar Main Road, 5Th Cross,Beside Veterinary Hospital, Anantpur,",Sri Prakash Eye Hospital,0,0,0,"# 12-3-216, Sai Nagar Main Road, 5Th Cross,Beside Veterinary Hospital",Andhra Pradesh,Anantapur,0,515001,08554  22106,0,0,0,0,0,0,0,08554  245906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
25,"14.6818877, 77.6005911","Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross, Anantapur",Sri Sai Balaji Hospital,0,0,0,"Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
26,"13.6340453, 79.4157431","10/368, Sarojini Road, Anantapur",Sri Sai Kurpa Nursing Home,0,0,0,"10/368, Sarojini Road",Andhra Pradesh,Anantapur,0,515001,08554    274564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
27,"14.6818877, 77.6005911",Anantapur,Sri Sai Venkateshwara Surgical Clinic,0,0,0,Anantapur,Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
28,"14.9093514, 78.0060388","Hospital Road,Anantapur-515001",Sudhir Surgical Clinic,0,0,0,Hospital Road,Andhra Pradesh,Anantapur,0,515001,220092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
29,"14.6755437, 77.6036802","12-2-870,1St Cross,Sai Nagar,Anantapur",Suma Eye Clinic,0,0,0,"12-2-870,1St Cross,Sai Nagar",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
30,"14.6755437, 77.6036802","12/350-A,1St Cross,Sai Nagar,Anantapur",Swetha Ent Hospital,0,0,0,"#12/350-A,1St Cross ,Sai Nagar",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
31,,"Snechalatha Healthcare Complex, Khaja Nagar, Opp To Ganga Gouri Cinema Complex",Vaatsalya Hospital(Ananthapur),0,0,0,"Snechalatha Healthcare Complex, Khaja Nagar, Opp To Ganga Gouri Cinema Complex",Andhra Pradesh,Anantapur,0,515001,277077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
32,"19.0627033, 72.9297396","D. No.14/224, Kamala Nagar",Varun Children's Hospital,0,0,0,"D. No.14/224, Kamala Nagar",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
33,"14.6818877, 77.6005911","7/201, Court Road",Venkat Sai Health Care Pvt Ltd ( Apollo Hospitals),0,0,0,"7/201, Court Road",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
34,"14.6607456, 77.6085681","Navodaya Colony, Anantpur",Vijaya Nursing Home,0,0,0,Navodaya Colony,Andhra Pradesh,Anantapur,0,515001,220912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
35,,Adimurthy Nagar Guild Of Service Road,Divyasree Hospital,0,0,0,Adimurthy Nagar Guild Of Service Road,Andhra Pradesh,Anantapur,0,515002,08554  274322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
36,"13.0433764, 80.1622367","12-2-865, 1St Cross, Sai Nagar",Mamatha Nursing Home,0,0,0,"12-2-865, 1St Cross, Sai Nagar",Andhra Pradesh,Anantapur,0,515004,08554  275152,9440014646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
37,"14.6735546, 77.6081894","28-639-1, Behind Sangamesh Funtion Hall, Anantapur",Anantapuram Praja Vaidyasala,0,0,0,"28-639-1, Behind Sangamesh Funtion Hall",Andhra Pradesh,Anantapur,0,515005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
38,"14.6818877, 77.6005911","M.F. Road,.",Balaji Nursing Home,0,0,0,M.F. Road,Andhra Pradesh,Anantapur,0,515201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
39,"14.6818877, 77.6005911","Opposite R.T.C Bus Stand, Hindupur (Po) Anantapur",Dr B V Syamala Ratnam Hospiatal,0,0,0,"Opposite R.T.C Bus Stand, Hindupur (Po)",Andhra Pradesh,Anantapur,0,515201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
40,"14.178135, 77.2728241","18-1-167, M F Road, Hindupur",Girish Multispeciality Hospital,0,0,0,"#18-1-167, M F Road, Hindupur",Andhra Pradesh,Anantapur,0,515201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
41,"13.8358978, 77.5046101","R.P.G.T Road, Near Sreenivasa Theatre, Hindupur, Anantpur, (A.P)-515201",Shilpa Hospital,0,0,0,"R.P.G.T Road, Near Sreenivasa Theatre, Hindupur",Andhra Pradesh,Anantapur,0,515201,08556 220728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
42,"13.8185378, 77.4988753",Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur,Sreenivasa Nursing Home,0,0,0,Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur,Andhra Pradesh,Anantapur,0,515201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
43,"13.8371751, 77.4878898",R.P and G.T Road Hindupur--515201,Teja Nursing Home,0,0,0,R.P and G.T Road Hindupur,Andhra Pradesh,Anantapur,0,515201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
44,"14.910003, 78.0005407","1/531A-3, East Palem, C B Road, Tadaptri",Sharada Nursing Home and Falvia P Reddy Diagnostic,0,0,0,"1/531A-3, East Palem, C B Road, Tadaptri",Andhra Pradesh,Anantapur,0,515411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
45,"14.9070274, 78.0092703","C.B Road, Tadpatri",Sri Kanchani Hospital,0,0,0,"C.B Road, Tadpatri",Andhra Pradesh,Anantapur,0,515411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
46,,"14/10-3, Bukkapatnam Street,",Sri Veja Hospital,0,0,0,"14/10-3, Bukkapatnam Street,",Andhra Pradesh,Anantapur,0,515411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
47,,"Near Andhra Bank, Byepass Road, Kadiri",Azad Diabetic Centre,0,0,0,"Near Andhra Bank, Byepass Road , Kadiri",Andhra Pradesh,Anantapur,0,515591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
48,"14.4137447, 77.7126189","Beside Sudharsan Theatre, R.S.Road, Dharmavaram, Anantapur ()",Devi Nursing Home,0,0,0,"Beside Sudharsan Theatre, R.S.Road, Dharmavaram",Andhra Pradesh,Anantapur,0,515671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
49,"14.4068919, 77.7125679","Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram",Spandana Hospital,0,0,0,"Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram",Andhra Pradesh,Anantapur,0,515671,08559  225919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
50,"15.1622611, 77.3826845","Thilak Nagar, Guntakal",Preethi Nursing Home,0,0,0,"Thilak Nagar, Guntakal",Andhra Pradesh,Anantapur,0,515801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
51,,"2-1254/1, Officecers Line, Kongareddipalli",Babu Nursing Home - Chittoor,0,0,0,"2-1254/1 , Officecers Line, Kongareddipalli",Andhra Pradesh,Chittoor,0,517001,229940/200345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
52,,"22-339/2, Opposite Sbi Colony, Kongareddy Patte, Chitoor,",Dr. Agarwals Eye Hospital Ltd.,0,0,0,"22-339/2, Opposite Sbi Colony, Kongareddy Patte",Andhra Pradesh,Chittoor,0,517001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
53,"13.217176, 79.1003289","No.17-433, Lakshmi Complex, Sundarayyar Street,Chittoor,",Dr. Ramalakshmi Nursing Home,0,0,0,"No.17-433, Lakshmi Complex, Sundarayyar Street",Andhra Pradesh,Chittoor,0,517001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
54,"13.217176, 79.1003289","No. 20-142/1, Near Raghava Theatre, Naidu Building, Chittoor",Dr. V. K. R. Nursing Home and Scan Centre,0,0,0,"No. 20-142/1, Near Raghava Theatre, Naidu Building",Andhra Pradesh,Chittoor,0,517001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
55,"28.6481837, 77.3709431","D.No:17-284,T.V.Naidu St,.",Lakshmi Hospital,0,0,0,"D.No:17-284,,T.V.Naidu St",Andhra Pradesh,Chittoor,0,517001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
56,,2-55/1 Municipal Office Road Near New Rtc Bus Stand,Ravi Nursing Home - Chitoor,0,0,0,2-55/1 Municipal Office Road Near New Rtc Bus Stand,Andhra Pradesh,Chittoor,0,517001,232235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
57,"39.5988355, -77.932359","2-1250, Officers Lane,.",S.M.Clinic,0,0,0,"# 2-1250, Officers Lane",Andhra Pradesh,Chittoor,0,517001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
58,"13.217176, 79.1003289","2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office Chittoor 517001  Chittoor",Sreelatha Modern Eye Hospital And Research Centre,0,0,0,"2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office",Andhra Pradesh,Chittoor,0,517001,"08577    222121, 226660,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
59,"13.65, 78.933333","2-1090, Padmavathi Nagar, Piler, Chittoor",Sujatha Nursing Home,0,0,0,"#2-1090, Padmavathi Nagar, Piler",Andhra Pradesh,Chittoor,0,517001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
60,,Aragonda Thavanampalle Mandal,Apollo Hospitals Aragonda,0,0,0,Aragonda Thavanampalle Mandal,Andhra Pradesh,Chittoor,0,517129,"08573  283220, 283221",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
61,"13.36592, 78.5750141",Opp:Tn Petrol Bunk Punganur Punganur 517247  Chittoor,Balaji Hospital,0,0,0,Opp:Tn Petrol Bunk Punganur Punganur,Andhra Pradesh,Chittoor,0,517247,08581    252867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
62,"13.36592, 78.5750141",Gokul Theater Road Punganur Punganur 517247  Chittoor,Vijaya Nursing Home,0,0,0,Gokul Theater Road Punganur Punganur,Andhra Pradesh,Chittoor,0,517247,08581    253129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
63,"13.5508703, 78.50597","Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle- Chittoor ()",Balaji Multi Speciality Hospital,0,0,0,"Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle",Andhra Pradesh,Chittoor,0,517325,08571  227799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
64,"13.5603491, 78.5036065",Near Rtc Bus Stand Chittoor Madanapalli 517325  Chittoor,Bhavya Child Care Center,0,0,0,Near Rtc Bus Stand Chittoor Madanapalli,Andhra Pradesh,Chittoor,0,517325,08571    221444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
65,"13.5508703, 78.50597",R T C Bus Stand Madanpalle -,Bhavyas Children Hospital,0,0,0,R T C Bus Stand Madanpalle,Andhra Pradesh,Chittoor,0,517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
66,"13.5603491, 78.5036065",14/2A Ctm Road Beside Icici Bank Madanapalli 517325  Chittoor,Chandra Mohan's Nursing Home,0,0,0,14/2A Ctm Road Beside Icici Bank Madanapalli,Andhra Pradesh,Chittoor,0,517325,08571    222167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
67,"13.5603491, 78.5036065","Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle - 517325",Desai Hospital,0,0,0,"Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle",Andhra Pradesh,Chittoor,0,517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
68,"14.4656511, 78.8330438","No. 3-153-4-3-1, Near Rtc Bus Stand,",Desai Hospital-Madanapalli,0,0,0,"No. 3-153-4-3-1, Near Rtc Bus Stand",Andhra Pradesh,Chittoor,0,517325,"08571    223144, 223257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
69,"18.4328566, 79.1303578","Near R.T.C.Busstand,C.T.M.Road.",Emergency Hospital,0,0,0,"Near R.T.C.Busstand,C.T.M.Road",Andhra Pradesh,Chittoor,0,517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
70,"13.217176, 79.1003289",",C.T.M.Road.",Gupta Nursing Home,0,0,0,C.T.M.Road,Andhra Pradesh,Chittoor,0,517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
